0,1,x,y,cluster,label,gray
5.3579955,4.1145334,348,633,1,0,255
5.356731,8.987028,868,650,2,0,211
0.7492204,10.18525,1191,654,0,0,222
5.1076746,3.867588,113,658,1,0,216
4.9885297,4.3024163,244,662,1,0,255
2.0668547,9.710462,1378,662,0,0,255
4.9178734,8.6315775,816,664,2,0,212
4.69551,9.30207,960,672,2,0,230
4.957728,9.185337,1352,674,2,0,202
4.4447074,8.190074,1141,676,2,0,205
5.878171,4.2004104,333,687,1,0,255
4.824769,8.782392,904,690,2,0,209
0.5788883,9.743157,206,698,0,0,255
6.2549725,4.1138563,778,703,1,0,249
4.363792,8.191255,946,730,2,0,205
0.62295914,9.405911,180,733,0,0,255
0.12700859,9.565534,196,733,0,0,255
4.4909267,8.464212,1073,734,2,0,215
4.406666,8.247055,893,743,2,0,214
5.2712283,3.946706,767,745,1,0,255
1.953059,9.888272,216,759,0,0,255
4.270387,8.648322,1112,767,2,0,209
6.1380434,10.255153,1743,772,2,0,232
4.9078007,9.853438,1325,780,2,0,202
5.397258,9.407759,1012,792,2,0,226
4.1154046,7.6803904,1246,793,2,0,201
5.451813,4.460412,1198,807,1,0,255
6.366037,9.324147,1724,821,2,0,203
1.6311643,10.147729,1307,830,0,0,255
4.60405,4.5954375,689,859,1,0,255
4.9803367,10.0435705,1161,875,2,0,201
5.455782,4.4348845,671,911,1,0,255
6.57904,4.191326,1658,915,1,0,233
4.3769097,9.257822,1435,923,2,0,244
2.2256808,9.681205,1465,936,0,0,255
6.1463504,9.452943,280,945,2,0,209
5.093435,4.793987,653,957,1,0,255
6.3008738,9.937531,1765,995,2,0,242
6.5222836,4.1065974,942,1061,1,0,255
4.7762475,4.2577925,974,1101,1,0,255
5.5820446,4.0554547,1671,1103,1,0,255
4.7083263,4.249596,1112,1104,1,0,255
-0.8042276,10.194442,116,1121,0,0,255
5.883638,3.96266,1065,1122,1,0,255
-0.87121534,10.363686,69,1126,0,0,255
4.2096767,7.858832,246,1127,2,0,224
5.981212,3.8877826,1195,1133,1,0,255
-0.9889953,10.480409,86,1141,0,0,255
0.14028674,10.19583,130,1144,0,0,235
4.868687,4.166842,1146,1149,1,0,255
5.0162253,3.9822161,1279,1154,1,0,255
