0,1,x,y,cluster,label,gray
10.646075,-3.1908844,423,283,2,0,158
10.535172,-2.0494387,474,283,2,0,143
10.624855,-0.5143365,888,283,2,0,161
10.491922,-3.4324532,370,284,2,0,135
11.372009,-2.8162758,678,284,2,0,150
9.746024,-0.062514015,165,285,2,0,139
8.001337,5.1335382,216,285,1,0,143
7.9494414,5.2258406,269,285,1,0,135
10.396739,0.3211062,939,286,2,0,143
8.455002,5.866245,577,287,1,0,146
-4.1744614,-1.3398361,371,311,0,0,76
-4.1698976,-0.0472428,114,312,0,0,72
-3.5610178,-0.95517486,218,312,0,0,81
-4.2554836,-1.5387759,676,312,0,0,81
-4.6758914,0.9451489,887,312,0,0,77
6.229631,6.9877834,270,313,3,0,137
-4.1765494,-1.445367,421,313,0,0,78
6.688628,8.998114,523,313,3,0,211
-4.739849,-0.21447724,832,314,0,0,85
-4.391198,0.7329039,168,315,0,0,82
-7.1854525,-0.44012916,475,315,0,0,68
-5.6281843,-1.546283,728,315,0,0,72
-5.26792,0.37119916,781,316,0,0,89
10.736861,-1.1228508,90,326,2,0,146
10.765328,-1.2838324,139,326,2,0,134
10.598436,-1.3595927,346,327,2,0,148
9.642183,0.63559455,602,327,2,0,156
10.847016,-3.0556269,705,328,2,0,152
7.425966,6.4094353,808,328,1,0,169
8.693676,5.8866067,501,329,1,0,143
8.73158,4.219267,554,329,1,0,120
11.216722,-2.8447435,653,329,2,0,150
10.582819,-0.43388876,860,329,2,0,154
8.431966,-1.7337911,189,330,2,0,123
9.32965,-0.82743496,242,330,2,0,139
8.690851,4.714623,398,330,1,0,143
10.922018,-3.5707433,449,330,2,0,142
11.126228,-2.11564,756,330,2,0,157
8.210528,5.99097,912,330,1,0,153
9.024059,2.674968,294,332,1,0,135
-3.5513477,-0.86362344,599,355,0,0,67
-6.107569,0.60091984,92,356,0,0,77
6.3201327,9.413449,806,356,3,0,255
-5.1813135,-0.9887249,552,357,0,0,72
-6.2112255,-1.3905582,244,359,0,0,80
-6.4140882,-1.3847362,296,359,0,0,67
-5.1356173,-1.017883,655,359,0,0,69
6.0122867,8.063285,399,360,3,0,182
-6.4370832,-1.1523745,449,360,0,0,68
-5.941115,-1.549384,701,360,0,0,70
-6.9571614,-0.039418902,756,361,0,0,91
-4.657123,1.2114722,860,361,0,0,88
5.977434,8.965519,910,361,3,0,233
-6.2146864,-0.7007379,504,362,0,0,72
10.858527,-1.400693,67,370,2,0,139
9.322701,1.3749591,116,370,2,0,127
10.853362,-1.2383903,167,373,2,0,126
10.787892,-4.136507,271,373,2,0,132
10.682637,-3.8409595,322,373,2,0,137
8.755112,4.3703866,576,373,1,0,149
10.686585,-3.406608,626,373,2,0,139
10.867892,-3.9807923,675,373,2,0,142
7.531876,5.545096,372,374,1,0,140
10.757579,-3.8482025,216,375,2,0,132
10.67474,-3.3789437,475,375,2,0,149
10.852422,-2.5505314,728,375,2,0,151
7.4186497,6.435916,780,375,1,0,149
7.4173,6.4135714,835,375,1,0,156
7.5846066,6.27039,888,375,1,0,145
7.908053,5.8945484,939,376,1,0,166
8.698162,4.374255,426,377,1,0,145
10.190246,-2.9388208,527,377,2,0,144
7.9472547,3.8937278,128,395,1,0,109
6.151975,8.673879,578,403,3,0,206
-4.244175,-1.6167024,728,403,0,0,81
-3.7199373,1.0108701,888,403,0,0,94
-5.771921,-1.2816763,475,404,0,0,66
-4.173521,-1.6669445,267,405,0,0,82
5.8963666,8.622193,372,405,3,0,218
-4.083635,-0.19180734,784,408,0,0,84
-3.928888,1.1228874,936,408,0,0,91
5.944776,8.961589,834,409,3,0,233
10.795493,-1.3977889,92,415,2,0,143
9.2832985,1.4013783,144,417,2,0,141
7.505126,5.8311415,346,417,1,0,152
10.742214,-3.5857167,192,418,2,0,132
7.4858503,6.375886,399,418,1,0,163
10.727767,-2.0701165,502,419,2,0,142
10.580665,-3.4891043,296,420,2,0,147
8.646449,5.2487974,605,420,1,0,148
10.707637,-3.8990664,652,420,2,0,123
